Date,Position,Trade Outcome,Entry Price,Exit Price,Points Gained,Exit Time
2016-03-21,Short,Closed End of Day,7649.9,7703.55,79.9,2016-03-21 15:15:00
2016-03-22,Short,Closed End of Day,7672.65,7713.3,79.9,2016-03-22 15:15:00
2016-03-23,Short,Closed End of Day,7700.0,7705.2,79.9,2016-03-23 15:15:00
2016-03-28,Short,Closed End of Day,7695.1,7630.45,64.65,2016-03-28 15:15:00
2016-03-29,Short,Closed End of Day,7614.35,7593.0,21.35,2016-03-29 15:15:00
2016-03-30,Short,Closed End of Day,7656.15,7737.05,21.35,2016-03-30 15:15:00
2016-03-31,Short,Closed End of Day,7767.45,7748.15,19.3,2016-03-31 15:15:00
2016-04-01,Short,Closed End of Day,7727.35,7712.75,14.6,2016-04-01 15:15:00
2016-04-04,Short,Closed End of Day,7745.95,7756.5,14.6,2016-04-04 15:15:00
2016-04-05,Short,Closed End of Day,7720.6,7592.95,127.65,2016-04-05 15:15:00
2016-04-06,Short,Closed End of Day,7612.95,7618.3,127.65,2016-04-06 15:15:00
2016-04-07,Short,Closed End of Day,7549.75,7542.15,7.6,2016-04-07 15:15:00
2016-04-08,Short,Closed End of Day,7548.1,7558.3,7.6,2016-04-08 15:15:00
2016-04-11,Short,SL Hit,7545.3,7645.3,-100.0,2016-04-11 14:45:00
2016-04-12,Short,Closed End of Day,7686.5,7709.15,7.6,2016-04-12 15:15:00
2016-04-13,Short,Closed End of Day,7826.15,7848.1,7.6,2016-04-13 15:15:00
2016-04-18,Short,Closed End of Day,7874.2,7907.8,7.6,2016-04-18 15:15:00
2016-04-20,Short,Closed End of Day,7930.65,7919.3,11.35,2016-04-20 15:15:00
2016-04-21,Short,Closed End of Day,7968.75,7897.0,71.75,2016-04-21 15:15:00
2016-04-22,Short,Closed End of Day,7905.15,7902.55,2.6,2016-04-22 15:15:00
2016-04-25,Short,Closed End of Day,7873.85,7864.85,9.0,2016-04-25 15:15:00
2016-04-26,Short,SL Hit,7844.0,7944.0,-100.0,2016-04-26 13:00:00
2016-04-27,Short,Closed End of Day,7979.15,7976.75,2.4,2016-04-27 15:15:00
2016-04-28,Short,Closed End of Day,7987.4,7851.05,136.35,2016-04-28 15:15:00
2016-04-29,Short,Closed End of Day,7865.1,7845.5,19.6,2016-04-29 15:15:00
2016-05-02,Short,Closed End of Day,7802.15,7807.15,19.6,2016-05-02 15:15:00
2016-05-03,Short,Closed End of Day,7871.15,7742.75,128.4,2016-05-03 15:15:00
2016-05-04,Short,Closed End of Day,7732.45,7700.35,32.1,2016-05-04 15:15:00
2016-05-05,Short,Closed End of Day,7722.8,7738.7,32.1,2016-05-05 15:15:00
2016-05-06,Short,Closed End of Day,7695.05,7734.25,32.1,2016-05-06 15:15:00
2016-05-09,Short,Closed End of Day,7826.8,7868.55,32.1,2016-05-09 15:15:00
2016-05-10,Short,Closed End of Day,7854.4,7889.9,32.1,2016-05-10 15:15:00
2016-05-11,Short,Closed End of Day,7857.5,7851.85,5.65,2016-05-11 15:15:00
2016-05-12,Short,Closed End of Day,7895.95,7905.2,5.65,2016-05-12 15:15:00
2016-05-13,Short,Closed End of Day,7837.75,7813.6,24.15,2016-05-13 15:15:00
2016-05-16,Short,Closed End of Day,7801.9,7859.3,24.15,2016-05-16 15:15:00
2016-05-17,Short,Closed End of Day,7894.65,7887.5,7.15,2016-05-17 15:15:00
2016-05-18,Short,Closed End of Day,7821.95,7872.85,7.15,2016-05-18 15:15:00
2016-05-19,Short,Closed End of Day,7835.7,7767.1,68.6,2016-05-19 15:15:00
2016-05-20,Short,Closed End of Day,7785.25,7760.0,25.25,2016-05-20 15:15:00
2016-05-23,Short,Closed End of Day,7768.2,7729.35,38.85,2016-05-23 15:15:00
2016-05-24,Short,Closed End of Day,7735.6,7759.9,38.85,2016-05-24 15:15:00
